2a.3,2b.J8,2b.4,2b.5,2k,2r,Con1,3a,4a,5a,H77,1b.J4,2a.Jc1
821,100.0,87.08,100.0,66.74,100.0,31.83,82.32,61.0,35.61,7.26,33.34,24.99,61.35
824,75.85,86.38,99.44,70.69,100.0,49.47,57.62,93.68,45.58,6.44,37.84,72.78,70.55
825,80.81,96.62,74.64,65.05,70.07,44.7,43.67,100.0,25.96,7.98,11.97,17.59,68.78
826,80.68,71.91,73.75,67.82,75.98,33.81,22.31,80.91,13.17,4.22,11.34,25.71,68.62
827,92.8,64.17,100.0,99.94,98.78,62.88,94.18,98.03,24.13,8.32,31.24,38.28,63.21
828,91.49,96.97,100.0,93.28,72.99,72.38,69.45,100.0,39.3,26.05,82.39,100.0,76.17
829,96.42,67.08,100.0,100.0,100.0,65.45,100.0,100.0,62.13,32.49,43.51,52.24,65.97
830,79.38,68.74,100.0,100.0,100.0,82.01,89.45,100.0,89.53,81.13,100.0,100.0,74.39
831,83.69,79.56,81.08,78.26,70.51,82.04,70.3,91.4,18.88,18.51,60.86,49.8,93.63
832,58.15,57.47,80.85,58.94,69.08,76.06,47.87,77.65,26.8,15.91,38.91,57.51,95.03
833,12.69,27.3,21.81,62.6,15.38,33.72,14.86,51.7,7.12,6.79,17.89,5.52,77.79
834,57.07,65.35,57.89,65.02,78.73,93.28,72.66,78.34,47.85,20.09,55.67,63.61,81.74
835,55.17,82.5,74.18,76.02,100.0,94.57,71.2,80.79,68.77,35.76,62.7,100.0,69.29
836,60.52,71.99,53.78,45.66,100.0,83.05,67.61,66.36,40.84,16.07,16.17,64.86,100.0
837,51.26,71.13,67.61,87.33,70.65,89.1,81.62,59.0,38.61,15.31,31.28,54.37,100.0
838,100.0,100.0,88.64,84.17,100.0,100.0,79.1,84.01,100.0,91.96,100.0,100.0,92.94
839,100.0,100.0,81.76,100.0,74.89,100.0,59.89,100.0,36.49,24.97,87.92,48.17,100.0
840,98.18,64.17,79.17,78.59,78.16,98.71,92.83,100.0,69.53,63.95,100.0,85.61,100.0
841,64.67,47.77,80.48,60.24,63.82,68.36,43.1,75.72,27.5,9.84,29.37,29.77,98.9
842,45.14,55.35,39.48,60.48,31.12,60.92,63.82,82.35,12.54,4.53,23.91,18.86,85.33
843,68.2,59.81,71.73,72.93,71.39,92.34,80.69,73.3,39.81,14.73,35.12,47.22,87.84
844,47.54,7.27,45.78,nan,18.84,15.58,nan,23.15,0.22,3.09,nan,0.17,71.85
847,58.27,54.85,90.31,nan,82.88,68.56,nan,69.07,17.31,27.42,nan,21.34,100.0
848,42.74,5.62,61.5,nan,48.57,40.18,nan,44.43,0.68,18.69,nan,7.95,72.3
849,50.47,5.66,43.62,nan,17.47,14.45,nan,35.04,1.27,4.69,nan,3.32,69.56
37,75.96,90.31,100.0,71.78,49.63,100.0,81.29,8.94,55.83,27.01,nan,7.73,78.9
39,71.7,79.95,100.0,85.93,55.81,88.18,66.56,26.65,31.24,18.82,nan,7.48,98.66
41,42.2,52.91,100.0,61.58,100.0,47.18,85.1,1.43,20.88,7.61,nan,1.33,69.82
46,75.51,100.0,100.0,100.0,94.66,77.34,84.26,21.71,51.89,23.76,nan,9.61,100.0
47,76.31,56.38,100.0,95.63,61.23,73.31,71.94,5.12,21.57,7.15,nan,10.27,95.39
49,71.19,92.74,100.0,97.77,100.0,72.19,100.0,37.44,70.27,33.36,nan,8.74,100.0
50,67.24,61.46,100.0,93.96,80.44,66.75,72.13,15.15,16.58,5.88,nan,2.86,33.98
52,63.24,88.03,94.25,100.0,83.56,48.18,97.21,17.46,53.38,5.86,nan,2.4,38.82
54,85.88,100.0,100.0,84.56,100.0,68.44,97.84,78.82,100.0,73.19,nan,67.14,100.0
55,55.65,71.93,100.0,78.47,71.88,39.89,60.05,6.31,22.66,6.82,nan,1.68,100.0
57,53.74,54.4,60.93,47.41,44.55,27.66,72.88,11.04,15.7,7.0,nan,0.3,92.79
59,70.86,99.47,55.74,81.41,93.46,49.76,100.0,25.58,14.35,8.74,nan,3.25,88.49
61,71.55,68.69,100.0,100.0,34.06,64.18,nan,7.98,8.46,12.39,nan,0.31,99.86
62,52.66,44.51,71.71,100.0,78.11,58.24,nan,5.0,17.7,8.61,nan,2.67,91.77
65,86.21,86.28,100.0,100.0,100.0,78.31,100.0,100.0,94.63,100.0,nan,100.0,100.0
66,60.59,96.64,100.0,100.0,68.57,49.7,90.24,19.88,36.01,10.74,nan,4.04,100.0
67,58.71,58.48,100.0,100.0,79.01,80.09,100.0,21.87,41.65,9.2,nan,9.56,83.89
69,16.59,3.01,8.35,2.0,20.3,11.53,56.35,10.89,23.38,6.75,nan,0.0,55.06
70,28.87,59.36,97.57,100.0,17.35,30.78,39.53,3.3,8.11,1.13,nan,0.35,79.76
71,42.69,80.84,75.15,100.0,21.95,38.03,69.99,9.77,11.48,1.59,nan,5.67,77.97
