2a.3,2b.J8,2b.4,2b.5,2k,2r,Con1,3a,4a,5a,H77,1b.J4,2a.Jc1
754,46.0314120277893,28.0639700354869,62.4291223573419,46.2690164955584,36.7559863374988,23.8166216151867,27.2251133158932,38.961300483324,12.0953389044546,23.289439275314,19.1076334408439,16.3681213933138,70.9306880572586
755,50.3517529294979,28.6384280960964,65.1803865202125,43.5550647669853,43.1456994961951,26.4965340517927,23.9551921340023,41.1791534391103,10.6300832813471,22.6260011858651,16.9043828965106,15.5129313599672,72.5672238811218
756,63.401796229198,44.1287307047155,72.1207113387837,50.3062227205387,58.3631266963071,43.2460674768964,28.3288488180589,51.1171843985002,18.3024364184846,25.5371741853946,19.4066582591152,22.8982318261672,87.0822774740589
760,46.0731551457783,24.8618363111691,62.580986855376,40.4768765728565,38.2818766552918,25.7431868001269,23.1135409133533,40.911472470269,13.5263290776426,25.8145083531388,20.9211844532524,18.4371320970785,71.590318196116
762,47.3691434893363,32.2494695646917,59.9549975905924,46.0436885406715,40.5945964566071,30.4198991232479,26.490395223917,40.5154093631582,8.44441164440907,20.9132015938889,16.256762966415,15.6647506789691,75.992325184907
763,60.1531496096136,40.3856698375449,70.1075371706274,52.2531945545616,53.4519658288117,36.1647191594627,28.8854542945809,43.245640813035,14.064076958047,21.978852756175,13.8282236352704,15.5788843391191,82.0300532237746
765,56.7194908021313,39.0305329779159,66.1684859228168,51.3675593217481,48.6670209947176,36.3504522390076,27.5200572375831,47.4993514505423,11.6663719930766,21.6532228834311,17.1184751087809,19.3119055098807,83.7310610954491
766,58.329411183655,36.3017940876758,68.9380665280358,48.197711577059,51.9451553965885,33.2604658986162,26.3192878809701,47.0327181168643,11.2853421658671,20.4981716638465,15.5783568262004,18.0325630412324,78.1853139646976
767,47.5014835772923,30.0750693548058,62.8515235289019,47.5840052831404,39.2277392671864,24.0164956391123,28.5820792918926,40.469499915465,9.76430688073988,20.2551676782529,17.0546843432132,15.7999124204331,70.0949260164284
768,45.6098214077296,28.150426756797,62.5895926812514,45.5822019058034,37.3846789059233,24.5422498087132,26.9376369524763,39.2102516129825,11.4351325036309,22.7931419472696,18.5391079269297,16.0739059276757,71.0129842144634
