2a.3,2b.J8,2b.4,2b.5,2k,2r,Con1,3a,4a,5a,H77,1b.J4,2a.Jc1
823,59.96,46.72,73.58,NAn,76.41,63.21,NAn,19.40,5.60,13.24,NAn,7.64,88.28
780,30.74,15.57,75.02,NAn,13.34,11.03,NAn,39.23,5.44,16.52,NAn,1.97,58.95
781,50.75,32.42,82.54,NAn,59.93,49.57,NAn,58.02,4.08,20.35,NAn,8.34,67.61
782,46.52,7.25,69.92,NAn,7.59,6.28,NAn,26.92,0.41,7.53,NAn,7.35,64.75
783,72.36,55.10,83.53,57.06,93.43,71.81,55.28,51.41,42.62,30.42,72.09,77.14,90.96
784,50.15,44.22,43.45,54.11,23.15,35.30,45.42,42.24,9.91,4.34,11.53,29.71,64.96
785,21.91,23.08,19.42,15.89,14.01,7.02,22.83,21.23,6.77,17.83,8.67,15.93,48.83
787,70.99,63.38,45.13,93.57,61.44,49.00,52.49,48.81,30.45,5.49,24.87,78.35,73.89
788,71.71,68.64,52.80,70.59,61.03,45.39,76.41,71.06,23.59,6.52,18.74,37.18,74.44
789,43.83,72.05,54.98,64.48,51.54,36.03,66.18,61.54,13.37,5.98,12.07,29.50,71.26
790,61.17,47.53,64.50,65.80,66.61,37.63,56.28,52.34,28.60,6.20,63.18,27.90,60.13
791,67.70,69.34,71.34,98.21,71.75,52.03,68.78,63.96,45.06,17.47,54.93,83.82,76.44
792,100.00,100.00,100.00,97.54,100.00,86.83,100.00,100.00,51.10,41.28,15.13,93.44,100.00
793,35.95,43.67,15.79,50.85,19.94,27.30,25.79,23.99,12.30,2.71,14.50,15.03,49.18
794,96.20,82.91,96.13,100.00,74.61,52.13,95.99,89.27,31.28,9.63,13.87,38.38,69.61
795,100.00,54.22,68.23,86.27,98.76,63.49,69.28,64.43,51.06,20.87,14.61,60.55,84.44
796,34.02,22.32,29.99,33.58,5.47,4.60,22.01,20.47,7.99,2.15,12.38,13.12,29.79
797,100.00,74.02,62.06,86.36,47.45,51.63,77.12,71.72,36.54,17.06,27.74,46.40,68.47
798,60.60,51.20,46.11,100.00,38.21,17.35,53.99,50.21,14.39,5.91,15.45,26.55,55.65
799,100.00,82.17,82.77,100.00,70.35,49.23,100.00,100.00,65.99,31.23,19.27,87.03,91.19
800,100.00,92.30,96.67,88.57,100.00,82.54,100.00,78.61,43.06,NAn,100.00,45.20,100.00
802,76.64,49.49,92.68,81.18,38.98,57.03,57.36,64.60,35.33,15.05,52.96,65.42,93.10
803,61.92,26.98,78.44,38.20,44.46,45.89,100.00,40.93,23.36,12.29,9.67,23.94,75.94
804,47.25,50.79,93.61,62.97,51.45,49.74,98.77,60.40,20.28,14.37,16.09,20.93,79.00
805,36.46,42.80,63.87,66.13,77.00,19.13,58.41,34.75,23.28,3.90,7.36,8.85,53.04
806,88.61,51.49,97.74,84.72,90.58,48.19,72.55,76.32,42.14,8.42,71.26,38.28,70.43
807,61.27,64.67,100.00,96.39,58.63,56.17,78.85,58.73,29.92,26.24,43.93,35.54,77.36
808,51.23,50.52,100.00,62.42,63.70,57.27,58.60,75.66,55.03,32.58,48.08,56.52,82.57
